COMFORTDELGRO DRIVING,DRIVING
ROLLIE OLIE ASIA SQUAR,FOOD
GRABTAXI PTE LTD,TRANSPORT
CITI CAFE,FOOD
BOOST JUICE BAR,FOOD
THECATCAFE PRIVATE LIMITE,FOOD
YA KUN CAFE PTE LTD,FOOD
KOUFU PTE LTD,FOOD
PHO STOP PTE. LTD.,FOOD
TOP-UP TO PAYLAH! :,OTHER
WAA COW! AT MARINA ONE,FOOD
BOULEVARD ASIA SQUARE,FOOD
LLYOD'S COFFEEHOUSE,FOOD
ZALORASG,OTHER
DULCET & STUDIO,FOOD
HARRY'S @BOAT QUAY,FOOD
SINGAPORE POLICE FORCE,DRIVING
MUJI @ ION ORCHARD,OTHER
SAMA CURRY & CAFE TOKA,FOOD
AP HOUSE SPECIALTY,FOOD
DMK -NP,OTHER
KKH-KIOSK 16,OTHER
NBC STATIONERY & GIFTS,OTHER
DRI*JABRABLUEPARROTT OR DE 30MAY,OTHER
MCDONALD'S (BWC),FOOD
FILMGARDE - BUGIS,OTHER
HDB-SALES UNIT,OTHER
COFFEE CLUB-T3,FOOD
RSH OUTLET IMM,OTHER
BEDOK N S4/85,WITHDRAWAL
TORI-Q JEM,FOOD
OTO WELLNESS,OTHER
BOXGREEN SHOP ORDER,OTHER
INNISFREE JURONG POINT,OTHER
PRIME SPKMT (1996) NTU,FOOD
MCDONALD'S (NTU),FOOD
TASTY N. T. 03MAR,FOOD
AVIVA LIMITED,TRAVEL
KLOOK TECHNOLOGY,TRAVEL
